,Cookie Name,Domains Associated With,Cookie Expiration,Cookie Security,HTTP Only Status,Total Number of Sites With Cookie,Number of Luxury Clothing Companies With Cookie,Number of Fast Fashion Companies With Cookie,Number of Technology Companies With Cookie,Number of Car Companies with Cookie
74,TapAd_3WAY_SYNCS,"['.tapad.com', '.tapad.com', '.tapad.com']",Expires at 1738391130,Secure,Not HTTP Only,3,0,2,0,1
75,MR,"['.bat.bing.com', '.bat.bing.com', '.bat.bing.com', '.bat.bing.com', '.bat.bing.com', '.bat.bing.com', '.bat.bing.com', '.bat.bing.com', '.c.clarity.ms', '.c.bing.com', '.bat.bing.com', '.bat.bing.com', '.bat.bing.com']",Expires at 1733811921,Secure,Not HTTP Only,13,2,8,2,1
76,khaos,['.rubiconproject.com'],Expires at 1764743127,Secure,Not HTTP Only,1,0,0,0,1
77,s_nr30,['.valentino.com'],Expires at 1735799680,Secure,Not HTTP Only,1,1,0,0,0
78,_ttp,"['.lanvin.com', '.tiktok.com', '.cartier.com', '.tiktok.com', '.balmain.com', '.tiktok.com', '.uniqlo.com', '.tiktok.com', '.guess.com', '.tiktok.com', '.yesstyle.com', '.tiktok.com', '.lulus.com', '.tiktok.com', '.showpo.com', '.tiktok.com', '.glassons.com', '.cottonon.com', '.tiktok.com', '.edikted.com', '.garageclothing.com', '.tiktok.com', '.oneplus.com', '.tiktok.com', '.bose.com', '.tiktok.com', '.tiktok.com', '.anker.com', '.hyundaiusa.com', '.tiktok.com']",Expires at 1766903118,Secure,Not HTTP Only,30,6,16,6,2
79,akacd_os_prod2,"['www.primark.com', 'api001-arh.primark.com']",Does not expire,Secure,Not HTTP Only,2,0,2,0,0
80,da_sid,['.decibelinsight.net'],Expires at 1733208786,Secure,HTTP Only,1,0,0,0,1
81,AMCV_452A1F2F5755B30D7F000101%40AdobeOrg,['.lulus.com'],Expires at 1796283920,Not secure,Not HTTP Only,1,0,1,0,0
82,Cascade.AuthSSO,['www.microsoft.com'],Expires at 1733208082,Not secure,Not HTTP Only,1,0,0,1,0
83,AMCV_EFD95E09512D2A8E0A490D4D%40AdobeOrg,['.ford.com'],Expires at 1796274646,Not secure,Not HTTP Only,1,0,0,0,1
84,aa_dslv_s,['.maisonmargiela.com'],Expires at 1733210713,Not secure,Not HTTP Only,1,1,0,0,0
85,dw_locale,['www.moncler.com'],Expires at 1735804019,Secure,Not HTTP Only,1,1,0,0,0
86,_px_uAB,['.lulus.com'],Expires at 1764747917,Not secure,Not HTTP Only,1,0,1,0,0
87,_ga_9FHGZRKPTD,['.glassons.com'],Expires at 1796283991,Not secure,Not HTTP Only,1,0,1,0,0
88,urbn_channel,['www.anthropologie.com'],Does not expire,Not secure,Not HTTP Only,1,0,1,0,0
89,cc-nx-g_LOE_USA,['www.loewe.com'],Expires at 1735800645,Secure,Not HTTP Only,1,1,0,0,0
90,siteChromeVersion,['www.asos.com'],Expires at 1733202301,Not secure,Not HTTP Only,1,0,1,0,0
91,riv-detected-locale,['rivian.com'],Expires at 1733211964,Secure,Not HTTP Only,1,0,0,0,1
92,AMCVS_92D21C8B532954A90A490D4D%40AdobeOrg,"['.abercrombie.com', '.hollisterco.com']",Does not expire,Not secure,Not HTTP Only,2,0,2,0,0
93,PERFORMANCE_COOKIES,['www.glassons.com'],Expires at 1764747985,Secure,Not HTTP Only,1,0,1,0,0
94,rskxRunCookie,"['.moncler.com', '.hermes.com', '.valentino.com', '.ferragamo.com', '.uniqlo.com']",Expires at 1796278385,Not secure,Not HTTP Only,5,4,1,0,0
95,MMJSESSIONID,['us.maxmara.com'],Does not expire,Secure,HTTP Only,1,1,0,0,0
96,isReadCookiePolicyDNT,['.asus.com'],Does not expire,Secure,Not HTTP Only,1,0,0,1,0
97,fptctx2,['.microsoft.com'],Does not expire,Secure,HTTP Only,1,0,0,1,0
98,_vis_opt_s,"['.acer.com', '.anker.com']",Expires at 1741849038,Not secure,Not HTTP Only,2,0,0,2,0
99,_ga_N3Y7WJ7Q3B,['.cottonon.com'],Expires at 1796280151,Not secure,Not HTTP Only,1,0,1,0,0
100,cookie_banner_v2,['.prada.com'],Expires at 4102358400,Not secure,Not HTTP Only,1,1,0,0,0
101,BVBRANDSID,"['.cottonon.com', '.bose.com']",Expires at 1733210242,Secure,Not HTTP Only,2,0,1,1,0
102,bounceClientVisit1828v,['.uniqlo.com'],Expires at 1733208204,Not secure,Not HTTP Only,1,0,1,0,0
103,TCPID,['.cartier.com'],Expires at 1767162209,Not secure,Not HTTP Only,1,1,0,0,0
104,dtm_tracker,['.lulus.com'],Does not expire,Secure,Not HTTP Only,1,0,1,0,0
105,ABTastySession,"['.cartier.com', '.boohoo.com', '.www.nastygal.com', '.razer.com']",Expires at 1733209808,Not secure,Not HTTP Only,4,1,2,1,0
106,drsp,['dressipi.glassons.com'],Expires at 1764747989,Secure,Not HTTP Only,1,0,1,0,0
107,granify.uuid,['.express.com'],Expires at 1890888295,Secure,Not HTTP Only,1,0,1,0,0
108,userInfo,['.ford.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,0,1
109,__wtba,['us.peppermayo.com'],Expires at 2147483647,Not secure,Not HTTP Only,1,0,1,0,0
110,SRCHUSR,['.bing.com'],Expires at 1796278352,Secure,Not HTTP Only,1,0,0,0,1
111,mt_misc,['.mathtag.com'],Expires at 1735799131,Secure,Not HTTP Only,1,0,0,0,1
112,AMCV_4DD80861515CAB990A490D45%40AdobeOrg,['.dell.com'],Expires at 1796278357,Secure,Not HTTP Only,1,0,0,1,0
113,nlbi_3114193,['.breadpayments.com'],Does not expire,Secure,HTTP Only,1,0,1,0,0
114,granify.new_user.1447,['.express.com'],Expires at 1890888297,Secure,Not HTTP Only,1,0,1,0,0
115,s_tp,"['.valentino.com', '.oracle.com']",Does not expire,Not secure,Not HTTP Only,2,1,0,1,0
116,igodigitalst_100015501,['.igodigital.com'],Expires at 1733212923,Secure,Not HTTP Only,1,1,0,0,0
117,incap_ses_1164_2787253,['.kmsmep.com'],Does not expire,Secure,Not HTTP Only,1,0,1,0,0
118,utag_main__ss,['.hm.com'],Expires at 1733204769,Secure,Not HTTP Only,1,0,1,0,0
119,_pk_id.www-givenchy-com.d962,['www.givenchy.com'],Expires at 1767162700,Not secure,Not HTTP Only,1,1,0,0,0
120,__attentive_timer,['www.oneplus.com'],Expires at 1766903702,Secure,Not HTTP Only,1,0,0,1,0
121,ad-id,"['.amazon-adsystem.com', '.amazon-adsystem.com']",Expires at 1751353052,Secure,HTTP Only,2,0,0,2,0
122,MSPTC,"['.bat.bing.com', '.bing.com']",Expires at 1766905045,Secure,Not HTTP Only,2,0,0,2,0
123,urbn_currency,['www.anthropologie.com'],Does not expire,Not secure,Not HTTP Only,1,0,1,0,0
124,s_ppvl,['.hyundaiusa.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,0,1
125,anj,"['.adnxs.com', '.adnxs.com']",Expires at 1740984149,Secure,HTTP Only,2,0,2,0,0
126,AMCVS_982E985B591252110A495C70%40AdobeOrg,['.maisonmargiela.com'],Does not expire,Not secure,Not HTTP Only,1,1,0,0,0
127,utag_main__pn,['.hm.com'],Expires at 1733204769,Secure,Not HTTP Only,1,0,1,0,0
128,ali_apache_tracktmp,['.aliexpress.com'],Does not expire,Not secure,Not HTTP Only,1,0,1,0,0
129,AMCVS_89B51D4B55B90FBA7F000101%40AdobeOrg,"['.prada.com', '.miumiu.com']",Does not expire,Not secure,Not HTTP Only,2,2,0,0,0
130,SRCHUID,['.bing.com'],Expires at 1796278352,Secure,Not HTTP Only,1,0,0,0,1
131,s_ips_aep,['.samsung.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,1,0
132,HMCORP_locale_autoassigned,['.hm.com'],Expires at 1748970948,Secure,Not HTTP Only,1,0,1,0,0
133,_clck,"['.balmain.com', '.guess.com', '.boohoo.com', '.peppermayo.com', '.nastygal.com', '.edikted.com', '.microsoft.com', '.hyundaiusa.com']",Expires at 1764743123,Not secure,Not HTTP Only,8,1,5,1,1
134,uuid2,"['.adnxs.com', '.adnxs.com', '.adnxs.com', '.adnxs.com']",Expires at 1740983129,Secure,HTTP Only,4,1,2,0,1
135,__adal_ses,['.boohoo.com'],Expires at 1733208581,Not secure,Not HTTP Only,1,0,1,0,0
136,dmSessionID,['us.peppermayo.com'],Expires at 1733213087,Not secure,Not HTTP Only,1,0,1,0,0
137,wtid_p,['.lulus.com'],Expires at 1764747918,Secure,HTTP Only,1,0,1,0,0
138,ai_session,['www.microsoft.com'],Expires at 1733208083,Secure,Not HTTP Only,1,0,0,1,0
139,dw_country_locale,['.nastygal.com'],Expires at 1764743820,Not secure,Not HTTP Only,1,0,1,0,0
140,_csrf,['.lulus.com'],Does not expire,Secure,HTTP Only,1,0,1,0,0
141,__eoi,['.bestbuy.com'],Expires at 1748759839,Secure,Not HTTP Only,1,0,0,1,0
142,FirstOrder,['www.showpo.com'],Expires at 1764747956,Not secure,Not HTTP Only,1,0,1,0,0
143,AWSALBAPP-0,['us.maxmara.com'],Expires at 1733812105,Secure,Not HTTP Only,1,1,0,0,0
144,__adal_ca,['.boohoo.com'],Expires at 1748758781,Not secure,Not HTTP Only,1,0,1,0,0
145,_psac_gdpr_stamp,['www.peugeot.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,0,1
146,pscartkey,['www.glassons.com'],Expires at 1735803985,Secure,HTTP Only,1,0,1,0,0
147,_ga_3PVHTKHPQ4,['.balmain.com'],Expires at 1767368821,Not secure,Not HTTP Only,1,1,0,0,0
148,sms_marketing_popup,['www.showpo.com'],Expires at 1733298354,Secure,Not HTTP Only,1,0,1,0,0
149,s_ppv_aep,['.samsung.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,1,0
150,flag_rokt_enabled,['.lulus.com'],Expires at 1735803916,Secure,Not HTTP Only,1,0,1,0,0
151,AWSALBTG,"['richemontintlsa.germany-2.evergage.com', 'lgelectronicsusa.us-7.evergage.com', 'bosecorporation.us-5.evergage.com', 'logitecheurope.us-6.evergage.com']",Expires at 1733813649,Not secure,Not HTTP Only,4,1,0,3,0
152,_ot_prev_uri_path,['.mi.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,1,0
153,MUIDB,['www.bing.com'],Expires at 1766902352,Not secure,HTTP Only,1,0,0,0,1
154,_dyid,['.pacsun.com'],Expires at 1735800748,Not secure,Not HTTP Only,1,0,1,0,0
155,epssw,['.aliexpress.us'],Expires at 1748759646,Not secure,Not HTTP Only,1,0,1,0,0
156,LDCID,['www.lenovo.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,1,0
157,TapAd_TS,"['.tapad.com', '.tapad.com', '.tapad.com']",Expires at 1738391130,Secure,Not HTTP Only,3,0,2,0,1
158,dw_cookies_accepted,"['www.ralphlauren.com', 'us.jimmychoo.com', '.boohoo.com', '.nastygal.com', 'cottonon.com']",Does not expire,Not secure,Not HTTP Only,5,2,3,0,0
159,cqcid,"['www.ralphlauren.com', 'www.cartier.com', 'www.givenchy.com', 'www.celine.com', 'www.loewe.com', 'us.balmain.com', 'www.maisonmargiela.com', 'www.jimmychoo.com', 'us.jimmychoo.com', 'www.forever21.com', 'www.guess.com', 'cottonon.com', 'www.pacsun.com', 'www.garageclothing.com', 'www.bose.com', 'www.jbl.com']",Does not expire,Secure,Not HTTP Only,16,9,5,2,0
160,FRG_analytics,['.ferragamo.com'],Expires at 1748933078,Not secure,Not HTTP Only,1,1,0,0,0
161,_conv_v,['.glassons.com'],Expires at 1748979986,Not secure,Not HTTP Only,1,0,1,0,0
162,e_id,['.aliexpress.com'],Expires at 2048567630,Not secure,Not HTTP Only,1,0,1,0,0
163,gig_bootstrap_4_zfH8JJaSNd53VGHW_LqJaQ,['.prada.com'],Expires at 1764739890,Secure,Not HTTP Only,1,1,0,0,0
164,audit_p,['.rubiconproject.com'],Expires at 1764743127,Secure,Not HTTP Only,1,0,0,0,1
165,razer_site_data,['.razer.com'],Does not expire,Secure,Not HTTP Only,1,0,0,1,0
166,s_vnum,['.audiusa.com'],Expires at 1735689600,Not secure,Not HTTP Only,1,0,0,0,1
167,SERVERID,['.eyeota.net'],Expires at 1733209516,Secure,Not HTTP Only,1,1,0,0,0
168,urbn_site_id,['www.anthropologie.com'],Does not expire,Not secure,Not HTTP Only,1,0,1,0,0
169,__hssc,['.panasonic.com'],Expires at 1733209220,Not secure,Not HTTP Only,1,0,0,1,0
170,AMCV_48855C6655783A647F000101%40AdobeOrg,['.samsung.com'],Expires at 1766899025,Secure,Not HTTP Only,1,0,0,1,0
171,userOriginCountry,['cottonon.com'],Expires at 1733294532,Secure,Not HTTP Only,1,0,1,0,0
172,ltkSubscriber-DomaineTestFooter,['.oscardelarenta.com'],Does not expire,Not secure,Not HTTP Only,1,1,0,0,0
173,isMobile,['.express.com'],Does not expire,Not secure,Not HTTP Only,1,0,1,0,0
174,rlas3,"['.rlcdn.com', '.rlcdn.com', '.rlcdn.com', '.rlcdn.com', '.rlcdn.com', '.rlcdn.com', '.rlcdn.com']",Expires at 1764747436,Secure,Not HTTP Only,7,1,2,2,2
175,dwac_bcRhAiaagQXjEaaac1rgZNLbGQ,['www.pacsun.com'],Does not expire,Secure,Not HTTP Only,1,0,1,0,0
176,__cuid,['.off---white.com'],Expires at 2117059201,Not secure,Not HTTP Only,1,1,0,0,0
177,tms_VisitorID,['www.garageclothing.com'],Expires at 1781593249,Secure,Not HTTP Only,1,0,1,0,0
178,_evga_ebee,['.cartier.com'],Expires at 1796279015,Secure,Not HTTP Only,1,1,0,0,0
179,urbn_data_center_id,['.anthropologie.com'],Expires at 1748759112,Secure,Not HTTP Only,1,0,1,0,0
180,preferredCountry,['.dolcegabbana.com'],Expires at 1764744091,Not secure,Not HTTP Only,1,1,0,0,0
181,bscookie,['.www.linkedin.com'],Expires at 1764745052,Secure,HTTP Only,1,0,0,1,0
182,SM,"['.c.clarity.ms', '.c.clarity.ms', '.c.clarity.ms', '.c.clarity.ms', '.c.clarity.ms', '.c.clarity.ms', '.c.clarity.ms']",Does not expire,Secure,Not HTTP Only,7,1,5,0,1
183,hyundaimotorcompany!mboxPC,['.hyundaimotorcompany.tt.omtrdc.net'],Expires at 1796451902,Secure,HTTP Only,1,0,0,0,1
184,Path3,['us.maxmara.com'],Does not expire,Secure,Not HTTP Only,1,1,0,0,0
185,s_tslv,['.valentino.com'],Expires at 1796279680,Secure,Not HTTP Only,1,1,0,0,0
186,storeCode,['www.asos.com'],Expires at 1764738001,Not secure,Not HTTP Only,1,0,1,0,0
187,uid_bam,"['.narrativ.com', '.narrativ.com']",Expires at 1780469853,Secure,Not HTTP Only,2,0,1,1,0
188,DellCEMSession,['.dell.com'],Does not expire,Secure,HTTP Only,1,0,0,1,0
189,lwrid,['.aliexpress.us'],Expires at 1764743634,Not secure,Not HTTP Only,1,0,1,0,0
190,LG5_SESSION_ID,['.lg.com'],Does not expire,Not secure,Not HTTP Only,1,0,0,1,0
191,FPI,['.ford.com'],Expires at 1738818674,Not secure,Not HTTP Only,1,0,0,0,1
192,dwanonymous_f5c20282f08daf434e79cdedbc968733,['www.bottegaveneta.com'],Expires at 1748759943,Secure,Not HTTP Only,1,1,0,0,0
193,riv-detected-country,['rivian.com'],Expires at 1733211973,Secure,Not HTTP Only,1,0,0,0,1
194,c,"['.creativecdn.com', '.creativecdn.com', '.creativecdn.com', '.creativecdn.com', '.creativecdn.com', 'c212.net', 'c212.net']",Expires at 1749191128,Secure,Not HTTP Only,7,0,5,0,2
195,_dy_df_geo,['.pacsun.com'],Expires at 1735800748,Not secure,Not HTTP Only,1,0,1,0,0
196,dwac_369b3c829863abfdc850642032,['www.jbl.com'],Does not expire,Secure,Not HTTP Only,1,0,0,1,0
197,pushalert_7707_2_pv,['.glassons.com'],Expires at 2597125632,Secure,Not HTTP Only,1,0,1,0,0
198,dw_dnt,"['www.ralphlauren.com', 'www.moncler.com', 'www.cartier.com', 'www.givenchy.com', 'www.bottegaveneta.com', 'www.celine.com', 'www.loewe.com', 'us.balmain.com', 'www.maisonmargiela.com', 'us.jimmychoo.com', 'www.forever21.com', 'www.guess.com', 'www.boohoo.com', 'www.showpo.com', 'www.nastygal.com', 'cottonon.com', 'www.pacsun.com', 'www.garageclothing.com', 'www.bose.com', 'www.jbl.com']",Does not expire,Secure,Not HTTP Only,20,10,8,2,0
199,_dy_ses_load_seq,['.forever21.com'],Expires at 1735798198,Not secure,Not HTTP Only,1,0,1,0,0
200,local_size,['www.missguided.com'],Expires at 1764743555,Not secure,Not HTTP Only,1,0,1,0,0
201,akaas_aud-seg-ocom-prod,['www.oracle.com'],Does not expire,Secure,Not HTTP Only,1,0,0,1,0
202,dep_exp,['.hm.com'],Expires at 1733204769,Not secure,Not HTTP Only,1,0,1,0,0
203,_sfid_7031,['.www.astonmartin.com'],Expires at 1796278349,Secure,Not HTTP Only,1,0,0,0,1
204,A3,"['.yahoo.com', '.yahoo.com']",Expires at 1764764374,Secure,HTTP Only,2,0,0,1,1
205,guest_id_marketing,"['.twitter.com', '.twitter.com', '.twitter.com']",Expires at 1796281043,Secure,Not HTTP Only,3,0,0,3,0
206,nvweb_A,['.nvidia.com'],Expires at 3147483647,Not secure,Not HTTP Only,1,0,0,1,0
207,browseCurrency,['www.asos.com'],Expires at 1764738001,Not secure,Not HTTP Only,1,0,1,0,0
208,dwac_dbce18704150c897de303bd610,['www.givenchy.com'],Does not expire,Secure,Not HTTP Only,1,1,0,0,0
209,xlly_s,['.aliexpress.us'],Expires at 1733466837,Secure,Not HTTP Only,1,0,1,0,0
210,dwanonymous_fef433314f33daea647fec81781cc830,['www.celine.com'],Expires at 1748760185,Secure,Not HTTP Only,1,1,0,0,0
211,cee,['.capig.glassons.com'],Expires at 1740987990,Secure,HTTP Only,1,0,1,0,0
212,v_starting,['.ford.com'],Expires at 1733204447,Not secure,Not HTTP Only,1,0,0,0,1
